,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,fluorometer
SAMPLE-001,157.51,RFU,na,solid std,na,na,chla_rfu,25,8,2021,na,G04
SAMPLE-002,0.11,RFU,hamblin,blank,int,1,blank,13,5,2021,na,G04
SAMPLE-003,0.09,RFU,hamblin,blank,int,2,blank,13,5,2021,na,G04
SAMPLE-004,181.64,RFU,hamblin,1,int,1,chla_rfu,13,5,2021,250,G04
SAMPLE-005,188.7,RFU,hamblin,1,int,2,chla_rfu,13,5,2021,250,G04
SAMPLE-006,0,RFU,shubeal,blank,int,1,blank,13,5,2021,na,G04
SAMPLE-007,0.09,RFU,shubeal,blank,int,2,blank,13,5,2021,na,G04
SAMPLE-008,93.47,RFU,shubeal,1,int,1,chla_rfu,13,5,2021,250,G04
SAMPLE-009,52.66,RFU,shubeal,1,int,2,chla_rfu,13,5,2021,250,G04
SAMPLE-010,0.06,RFU,hamblin,blank,int,1,blank,28,6,2021,na,G04
SAMPLE-011,0.07,RFU,hamblin,blank,int,2,blank,28,6,2021,na,G04
SAMPLE-012,226.15,RFU,hamblin,1,int,1,chla_rfu,28,6,2021,250,G04
SAMPLE-013,235.1,RFU,hamblin,1,int,2,chla_rfu,28,6,2021,250,G04
SAMPLE-014,230.15,RFU,hamblin,2,int,1,chla_rfu,28,6,2021,250,G04
SAMPLE-015,233.6,RFU,hamblin,2,int,2,chla_rfu,28,6,2021,250,G04
SAMPLE-016,256.95,RFU,hamblin,3,int,1,chla_rfu,28,6,2021,250,G04
SAMPLE-017,240.23,RFU,hamblin,3,int,2,chla_rfu,28,6,2021,250,G04
SAMPLE-018,230.75,RFU,hamblin,4,int,1,chla_rfu,28,6,2021,250,G04
SAMPLE-019,226.71,RFU,hamblin,4,int,2,chla_rfu,28,6,2021,250,G04
SAMPLE-020,238.69,RFU,hamblin,b,int,1,chla_rfu,28,6,2021,250,G04
SAMPLE-021,223.02,RFU,hamblin,b,int,2,chla_rfu,28,6,2021,250,G04
SAMPLE-022,220.89,RFU,hamblin,b,int,3,chla_rfu,28,6,2021,250,G04
SAMPLE-023,0.1,RFU,shubeal,blank,int,1,blank,28,6,2021,na,G04
SAMPLE-024,0.9,RFU,shubeal,blank,int,2,blank,28,6,2021,na,G04
SAMPLE-025,287.54,RFU,shubeal,1,int,1,chla_rfu,28,6,2021,250,G04
