,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,fluorometer
SAMPLE-001,130.95,RFU,na,solid std,na,na,chla_rfu,18,11,2021,na,M07/G04
SAMPLE-002,0.13,RFU,hamblin,blank,int,1,blank,11,8,2021,na,G04
SAMPLE-003,0.11,RFU,hamblin,blank,int,2,blank,11,8,2021,na,G04
SAMPLE-004,162.01,RFU,hamblin,1,int,1,chla_rfu,11,8,2021,250,G04
SAMPLE-005,167.77,RFU,hamblin,1,int,2,chla_rfu,11,8,2021,250,G04
SAMPLE-006,156.77,RFU,hamblin,2,int,1,chla_rfu,11,8,2021,250,G04
SAMPLE-007,155.99,RFU,hamblin,2,int,2,chla_rfu,11,8,2021,250,G04
SAMPLE-008,163.61,RFU,hamblin,3,int,1,chla_rfu,11,8,2021,250,G04
SAMPLE-009,169.19,RFU,hamblin,3,int,2,chla_rfu,11,8,2021,250,G04
SAMPLE-010,146.86,RFU,hamblin,4,int,1,chla_rfu,11,8,2021,250,G04
SAMPLE-011,128.39,RFU,hamblin,4,int,2,chla_rfu,11,8,2021,250,G04
SAMPLE-012,133.55,RFU,hamblin,B,int,1,chla_rfu,11,8,2021,250,G04
SAMPLE-013,145.62,RFU,hamblin,B,int,2,chla_rfu,11,8,2021,250,G04
SAMPLE-014,128.8,RFU,hamblin,B,int,3,chla_rfu,11,8,2021,250,G04
SAMPLE-015,0.09,RFU,shubael,blank,int,1,blank,11,8,2021,na,G04
SAMPLE-016,0.08,RFU,shubael,blank,int,2,blank,11,8,2021,na,G04
SAMPLE-017,303.77,RFU,shubael,1,int,1,chla_rfu,11,8,2021,250,G04
SAMPLE-018,335.68,RFU,shubael,1,int,2,chla_rfu,11,8,2021,250,G04
SAMPLE-019,256.3,RFU,shubael,2,int,1,chla_rfu,11,8,2021,250,G04
SAMPLE-020,280.51,RFU,shubael,2,int,2,chla_rfu,11,8,2021,250,G04
SAMPLE-021,307.11,RFU,shubael,3,int,1,chla_rfu,11,8,2021,250,G04
SAMPLE-022,313.72,RFU,shubael,3,int,2,chla_rfu,11,8,2021,250,G04
SAMPLE-023,317.05,RFU,shubael,4,int,1,chla_rfu,11,8,2021,250,G04
SAMPLE-024,277.37,RFU,shubael,4,int,2,chla_rfu,11,8,2021,250,G04
SAMPLE-025,312.07,RFU,shubael,B,int,1,chla_rfu,11,8,2021,250,G04
SAMPLE-026,326.49,RFU,shubael,B,int,2,chla_rfu,11,8,2021,250,G04
SAMPLE-027,258.49,RFU,shubael,B,int,3,chla_rfu,11,8,2021,250,G04
SAMPLE-028,0.35,RFU,hamblin,blank,int,1,blank,31,8,2021,na,G04
