date,waterbody,site,depth,dups,reps,variable,units,value
2021-05-13,hamblin,1,int,NA,1,phyco,RFU,-1.1300000000000026
2021-05-13,hamblin,1,int,NA,2,phyco,RFU,-2.970000000000006
2021-05-13,shubael,1,int,NA,1,phyco,RFU,3.825000000000003
2021-05-13,shubael,1,int,NA,2,phyco,RFU,12.325000000000003
2021-05-13,hamblin,1,int,NA,1,phyco,µg/L,-0.006811305939164228
2021-05-13,hamblin,1,int,NA,2,phyco,µg/L,-0.017902281981697125
2021-05-13,shubael,1,int,NA,1,phyco,µg/L,0.02305596921885233
2021-05-13,shubael,1,int,NA,2,phyco,µg/L,0.07429145637185747
2021-06-28,hamblin,1,int,NA,1,phyco,RFU,3.6099999999999994
2021-06-28,hamblin,1,int,NA,2,phyco,RFU,5.969999999999999
2021-06-28,hamblin,2,int,NA,1,phyco,RFU,6.68
2021-06-28,hamblin,2,int,NA,2,phyco,RFU,14.82
2021-06-28,hamblin,3,int,NA,1,phyco,RFU,-0.5600000000000023
2021-06-28,hamblin,3,int,NA,2,phyco,RFU,-4.899999999999999
2021-06-28,hamblin,4,int,NA,1,phyco,RFU,5.460000000000001
2021-06-28,hamblin,4,int,NA,2,phyco,RFU,-4.509999999999998
2021-06-28,hamblin,b,int,NA,1,phyco,RFU,7.25
2021-06-28,hamblin,b,int,NA,2,phyco,RFU,0.6599999999999966
2021-06-28,hamblin,b,int,NA,3,phyco,RFU,-1.3200000000000003
2021-06-28,shubael,1,int,NA,1,phyco,RFU,17.060000000000002
2021-06-28,shubael,1,int,NA,2,phyco,RFU,24.379999999999995
2021-06-28,shubael,2,int,NA,1,phyco,RFU,22.570000000000007
2021-06-28,shubael,2,int,NA,2,phyco,RFU,21.710000000000008
2021-06-28,shubael,3,int,NA,1,phyco,RFU,34.86
2021-06-28,shubael,3,int,NA,2,phyco,RFU,33.099999999999994
2021-06-28,shubael,4,int,NA,1,phyco,RFU,48.620000000000005
2021-06-28,shubael,4,int,NA,2,phyco,RFU,32.599999999999994
2021-06-28,shubael,b,int,NA,1,phyco,RFU,15.050000000000004
2021-06-28,shubael,b,int,NA,2,phyco,RFU,34.760000000000005
2021-06-28,shubael,b,int,NA,3,phyco,RFU,28.58
2021-06-28,hamblin,1,int,NA,1,phyco,µg/L,0.021760012779099825
2021-06-28,hamblin,1,int,NA,2,phyco,µg/L,0.03598539509452243
2021-06-28,hamblin,2,int,NA,1,phyco,µg/L,0.0402650651978911
2021-06-28,hamblin,2,int,NA,2,phyco,µg/L,0.0893305787773572
2021-06-28,hamblin,3,int,NA,1,phyco,µg/L,-0.003375514447727411
2021-06-28,hamblin,3,int,NA,2,phyco,µg/L,-0.02953575141761472
2021-06-28,hamblin,4,int,NA,1,phyco,µg/L,0.03291126586534213
2021-06-28,hamblin,4,int,NA,2,phyco,µg/L,-0.02718494671294742
