,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,fluorometer
SAMPLE-001,10202.55,RFU,na,solid std,na,na,phyco_rfu,17,11,2021,na,G04
SAMPLE-002,75.77,RFU,hamblin,blank,int,1,blank,14,7,2021,na,G04
SAMPLE-003,66.96,RFU,hamblin,blank,int,2,blank,14,7,2021,na,G04
SAMPLE-004,72.46,RFU,hamblin,1,int,1,phyco_rfu,14,7,2021,250,G04
AMPLE-005,72.6,RFU,hamblin,1,int,2,phyco_rfu,14,7,2021,250,G04
SAMPLE-006,70.19,RFU,hamblin,2,int,1,phyco_rfu,14,7,2021,250,G04
SAMPLE-007,66.94,RFU,hamblin,2,int,2,phyco_rfu,14,7,2021,250,G04
SAMPLE-008,84.32,RFU,hamblin,3,int,1,phyco_rfu,14,7,2021,250,G04
SAMPLE-009,74.96,RFU,hamblin,3,int,2,phyco_rfu,14,7,2021,250,G04
SAMPLE-010,80.47,RFU,hamblin,4,int,1,phyco_rfu,14,7,2021,250,G04
SAMPLE-011,78.68,RFU,hamblin,4,int,2,phyco_rfu,14,7,2021,250,G04
SAMPLE-012,77.14,RFU,hamblin,B,int,1,phyco_rfu,14,7,2021,250,G04
SAMPLE-013,71.22,RFU,hamblin,B,int,2,phyco_rfu,14,7,2021,250,G04
SAMPLE-014,66.73,RFU,hamblin,B,int,3,phyco_rfu,14,7,2021,250,G04
SAMPLE-015,67.08,RFU,shubael,blank,int,1,blank,14,7,2021,na,G04
SAMPLE-016,64.75,RFU,shubael,blank,int,2,blank,14,7,2021,na,G04
SAMPLE-017,87.33,RFU,shubael,1,int,1,phyco_rfu,14,7,2021,250,G04
SAMPLE-018,79.13,RFU,shubael,1,int,2,phyco_rfu,14,7,2021,250,G04
SAMPLE-019,70.45,RFU,shubael,2,int,1,phyco_rfu,14,7,2021,250,G04
SAMPLE-020,73.61,RFU,shubael,2,int,2,phyco_rfu,14,7,2021,250,G04
SAMPLE-021,112.25,RFU,shubael,3,int,1,phyco_rfu,14,7,2021,250,G04
SAMPLE-022,113.3,RFU,shubael,3,int,2,phyco_rfu,14,7,2021,250,G04
SAMPLE-023,121.58,RFU,shubael,4,int,1,phyco_rfu,14,7,2021,250,G04
SAMPLE-024,125.09,RFU,shubael,4,int,2,phyco_rfu,14,7,2021,250,G04
SAMPLE-025,115.58,RFU,shubael,B,int,1,phyco_rfu,14,7,2021,250,G04
SAMPLE-026,129.49,RFU,shubael,B,int,2,phyco_rfu,14,7,2021,250,G04
SAMPLE-027,122.42,RFU,shubael,B,int,3,phyco_rfu,14,7,2021,250,G04
SAMPLE-028,58.44,RFU,hamblin,blank,int,1,blank,29,7,2021,na,G04
SAMPLE-031,57.49,RFU,hamblin,blank,int,2,blank,29,7,2021,na,G04
SAMPLE-032,70.86,RFU,hamblin,1,int,1,phyco_rfu,29,7,2021,250,G04
SAMPLE-033,73.78,RFU,hamblin,1,int,2,phyco_rfu,29,7,2021,250,G04
SAMPLE-034,76.18,RFU,hamblin,2,int,1,phyco_rfu,29,7,2021,250,G04
SAMPLE-035,76.28,RFU,hamblin,2,int,2,phyco_rfu,29,7,2021,250,G04
SAMPLE-036,76.15,RFU,hamblin,3,int,1,phyco_rfu,29,7,2021,250,G04
SAMPLE-038,78.16,RFU,hamblin,3,int,2,phyco_rfu,29,7,2021,250,G04
SAMPLE-039,81.72,RFU,hamblin,4,int,1,phyco_rfu,29,7,2021,250,G04
SAMPLE-040,78.04,RFU,hamblin,4,int,2,phyco_rfu,29,7,2021,250,G04
SAMPLE-041,68.98,RFU,hamblin,B,int,1,phyco_rfu,29,7,2021,250,G04
SAMPLE-042,67.15,RFU,hamblin,B,int,2,phyco_rfu,29,7,2021,250,G04
SAMPLE-043,65.93,RFU,hamblin,B,int,3,phyco_rfu,29,7,2021,250,G04
SAMPLE-044,57.43,RFU,shubael,blank,int,1,blank,29,7,2021,na,G04
SAMPLE-045,74.05,RFU,shubael,blank,int,2,blank,29,7,2021,na,G04
SAMPLE-046,142.43,RFU,shubael,1,int,1,phyco_rfu,29,7,2021,250,G04
SAMPLE-047,192.96,RFU,shubael,1,int,2,phyco_rfu,29,7,2021,250,G04
SAMPLE-048,151.32,RFU,shubael,2,int,1,phyco_rfu,29,7,2021,250,G04
SAMPLE-049,136.17,RFU,shubael,2,int,2,phyco_rfu,29,7,2021,250,G04
SAMPLE-051,175.51,RFU,shubael,3,int,1,phyco_rfu,29,7,2021,250,G04
SAMPLE-052,202.98,RFU,shubael,3,int,2,phyco_rfu,29,7,2021,250,G04
SAMPLE-053,167.44,RFU,shubael,4,int,1,phyco_rfu,29,7,2021,250,G04
SAMPLE-054,163.7,RFU,shubael,4,int,2,phyco_rfu,29,7,2021,250,G04
SAMPLE-055,153.48,RFU,shubael,B,int,1,phyco_rfu,29,7,2021,250,G04
SAMPLE-056,188.54,RFU,shubael,B,int,2,phyco_rfu,29,7,2021,250,G04
SAMPLE-057,187.14,RFU,shubael,B,int,3,phyco_rfu,29,7,2021,250,G04
SAMPLE-058,10146.77,RFU,na,solid std,na,na,phyco_rfu,17,11,2021,na,G04
