,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,fluorometer
SAMPLE-001,10114.46,RFU,na,solid std,na,na,phyco_rfu,23,11,2021,na,G04
SAMPLE-002,56.06,RFU,hamblin,blank,int,1,blank,15,9,2021,na,G04
SAMPLE-003,55.2,RFU,hamblin,blank,int,2,blank,15,9,2021,na,G04
SAMPLE-004,63.85,RFU,hamblin,1,int,1,phyco_rfu,15,9,2021,250,G04
SAMPLE-005,58.91,RFU,hamblin,1,int,2,phyco_rfu,15,9,2021,250,G04
SAMPLE-006,57.81,RFU,hamblin,2,int,1,phyco_rfu,15,9,2021,250,G04
SAMPLE-007,59.55,RFU,hamblin,2,int,2,phyco_rfu,15,9,2021,250,G04
SAMPLE-008,64.45,RFU,hamblin,3,int,1,phyco_rfu,15,9,2021,250,G04
SAMPLE-009,66.12,RFU,hamblin,3,int,2,phyco_rfu,15,9,2021,250,G04
SAMPLE-010,60,RFU,hamblin,4,int,1,phyco_rfu,15,9,2021,250,G04
SAMPLE-011,69.29,RFU,hamblin,4,int,2,phyco_rfu,15,9,2021,250,G04
SAMPLE-012,57.32,RFU,hamblin,B,int,1,phyco_rfu,15,9,2021,250,G04
SAMPLE-013,58.36,RFU,hamblin,B,int,2,phyco_rfu,15,9,2021,250,G04
SAMPLE-014,57.68,RFU,hamblin,B,int,3,phyco_rfu,15,9,2021,250,G04
SAMPLE-015,57.38,RFU,shubael,blank,int,1,blank,15,9,2021,na,G04
SAMPLE-017,55.44,RFU,shubael,blank,int,2,blank,15,9,2021,na,G04
SAMPLE-018,90.71,RFU,shubael,1,int,1,phyco_rfu,15,9,2021,250,G04
SAMPLE-019,118.7,RFU,shubael,1,int,2,phyco_rfu,15,9,2021,250,G04
SAMPLE-020,100.86,RFU,shubael,2,int,1,phyco_rfu,15,9,2021,250,G04
SAMPLE-021,102.75,RFU,shubael,2,int,2,phyco_rfu,15,9,2021,250,G04
SAMPLE-022,117.12,RFU,shubael,3,int,1,phyco_rfu,15,9,2021,250,G04
SAMPLE-023,111.08,RFU,shubael,3,int,2,phyco_rfu,15,9,2021,250,G04
SAMPLE-024,100.68,RFU,shubael,4,int,1,phyco_rfu,15,9,2021,250,G04
SAMPLE-025,98.95,RFU,shubael,4,int,2,phyco_rfu,15,9,2021,250,G04
SAMPLE-026,99.95,RFU,shubael,B,int,1,phyco_rfu,15,9,2021,250,G04
SAMPLE-027,102.51,RFU,shubael,B,int,2,phyco_rfu,15,9,2021,250,G04
SAMPLE-028,106.97,RFU,shubael,B,int,3,phyco_rfu,15,9,2021,250,G04
