day,month,year,waterbody,site,depth,reps,variable,value
28,6,2021,shubael,s1,0,1,temp,25.9
28,6,2021,shubael,s1,0,1,%do,91
28,6,2021,shubael,s1,0,1,do,7.43
28,6,2021,shubael,s1,0,1,spc,134.4
28,6,2021,shubael,s1,0,1,sal,0.06
28,6,2021,shubael,s1,0,1,ph,6.9
28,6,2021,shubael,s2,0,1,temp,25.6
28,6,2021,shubael,s2,0,1,%do,90.9
28,6,2021,shubael,s2,0,1,do,7.41
28,6,2021,shubael,s2,0,1,spc,134
28,6,2021,shubael,s2,0,1,sal,0.06
28,6,2021,shubael,s2,0,1,ph,7.04
28,6,2021,shubael,s3,0,1,temp,25.9
28,6,2021,shubael,s3,0,1,%do,93.7
28,6,2021,shubael,s3,0,1,do,7.62
28,6,2021,shubael,s3,0,1,spc,133.6
28,6,2021,shubael,s3,0,1,sal,0.06
28,6,2021,shubael,s3,0,1,ph,7.08
28,6,2021,shubael,s4,0,1,temp,25.7
28,6,2021,shubael,s4,0,1,%do,93.8
28,6,2021,shubael,s4,0,1,do,7.61
28,6,2021,shubael,s4,0,1,spc,129.4
28,6,2021,shubael,s4,0,1,sal,0.06
28,6,2021,shubael,s4,0,1,ph,7.14
28,6,2021,shubael,b,0,1,temp,25.5
28,6,2021,shubael,b,1,1,temp,25.3
28,6,2021,shubael,b,2,1,temp,25.2
28,6,2021,shubael,b,3,1,temp,24.8
28,6,2021,shubael,b,4,1,temp,23.9
28,6,2021,shubael,b,5,1,temp,19.2
28,6,2021,shubael,b,6,1,temp,18
28,6,2021,shubael,b,7,1,temp,16.5
28,6,2021,shubael,b,8,1,temp,14.5
28,6,2021,shubael,b,9,1,temp,12.6
28,6,2021,shubael,b,10,1,temp,11.7
28,6,2021,shubael,b,11,1,temp,12
28,6,2021,shubael,b,12,1,temp,11.9
28,6,2021,shubael,b,13,1,temp,11.8
28,6,2021,shubael,b,0,1,%do,90.6
28,6,2021,shubael,b,1,1,%do,89.3
28,6,2021,shubael,b,2,1,%do,87.9
28,6,2021,shubael,b,3,1,%do,88.4
28,6,2021,shubael,b,4,1,%do,86.7
28,6,2021,shubael,b,5,1,%do,102.4
